Unnamed: 0,name,currentAnnualSalary,currentMonthlySalary,active,jobTitle,gender,spatial_name,role_name,affiliation_slug,member_of_name,municipio
0,Letizia Ortiz Rocasolano,148105.0,10578.93,True,Reina de España,female,Nacional,Altos cargos,sin-partido,Casa Real,Casa Real
1,Abel Caballero Álvarez,75594.52,6299.54,True,Alcalde Del Ayuntamiento De Vigo,male,Local,Alcalde,psoe,Ayuntamiento De Vigo/ES,Vigo
2,Isabel Natividad Díaz Ayuso,103090.32,7363.59,True,Presidenta de la Comunidad de Madrid,female,Autonómico,Altos cargos,partido-popular,Comunidad De Madrid,Comunidad De Madrid
3,Miguel Ángel Rodríguez Bajón,100989.6,8415.8,True,Jefe del Gabinete de la Presidenta de la Comunidad de Madrid Comunidad de Madrid,male,Autonómico,Asesor,partido-popular,Comunidad De Madrid,Comunidad De Madrid
4,José Luis Martínez-Almeida Navasqüés,115419.42,9618.28,True,Alcalde Del Ayuntamiento De Madrid,male,Local,Alcalde,partido-popular,Ayuntamiento De Madrid/ES,Madrid
5,Carlos Mazón Guixot,91398.24,7616.52,True,Presidente de la Generalitat,male,Autonómico,Presidente,partido-popular,Generalitat Valenciana,Generalitat Valenciana
6,Ximo Puig Ferrer,0.0,0.0,True,Senador,male,,,psoe,,
7,Dolors Montserrat Montserrat,131129.3,10927.44,True,Eurodiputada,female,Europeo,Cargo europeo,partido-popular,Parlamento Europeo,Parlamento Europeo
8,Carles Puigdemont I Casamajó,40905.48,2921.82,True,Diputado autonómico del Parlament de Catalunya,male,Autonómico,Diputado,junts-per-catalunya,Parlament De Catalunya,Parlament De Catalunya
9,Susana Díaz Pacheco,92608.88,6614.92,True,Senadora,female,Nacional,Senador,psoe,Senado,Senado
10,Juan Manuel Moreno Bonilla,89275.32,6376.81,True,Presidente,male,Autonómico,Presidente,partido-popular,Junta De Andalucía,Junta De Andalucía
11,Luis De Guindos Jurado,343764.0,28647.0,True,Vicepresidente,male,Europeo,Cargo europeo,partido-popular,Banco Central Europeo,Banco Central Europeo
12,Joan Ribó Canut,69331.5,4952.25,True,Concejal,male,Local,Concejal,acord-per-guanyar,Ayuntamiento De València/ES,Valencia
13,Francisco Javier Ortega Smith-Molina,117969.25,8525.4,True,Diputado,male,Nacional,Diputado,vox,Congreso De Los Diputados,Congreso De Los Diputados
14,José Luis Escrivá Belmonte,237158.28,19763.19,True,Gobernador del Banco de España,male,Nacional,Altos cargos,sin-partido,Banco De España,Banco De España
15,Rafael Simancas Simancas,141312.01,11610.11,True,Secretario de Estado de Relaciones con las Cortes y Asuntos Constitucionales,male,Nacional,Altos cargos,psoe,Gobierno De España,Gobierno De España
16,Irene María Montero Gil,131129.28,10927.44,True,Eurodiputada,female,Europeo,Cargo europeo,podemos,Parlamento Europeo,Parlamento Europeo
17,Miguel Ángel Revilla Roiz,49662.72,4138.56,True,Diputado,male,Autonómico,Diputado,partido-regionalista-de-cantabria,Parlamento De Cantabria,Parlamento De Cantabria
18,Jesús Huerta Almendro,223419.12,15958.51,True,Presidente Loterías y Apuestas del Estado,male,Nacional,Altos cargos,sin-partido,Gobierno De España,Gobierno De España
19,Yolanda Díaz Pérez,101439.66,8287.92,True,Vicepresidenta segunda y ministra de Trabajo y Economía Social,female,Nacional,Ministro,sumar,Gobierno De España,Gobierno De España
20,Ione Belarra Urteaga,109651.08,7832.22,True,Diputada,female,Nacional,Diputado,podemos,Congreso De Los Diputados,Congreso De Los Diputados
21,Pío García-Escudero Márquez,83458.06,5961.29,True,Senador,male,Nacional,Senador,partido-popular,Senado,Senado
22,Esther Muñoz De La Iglesia,117439.98,8388.57,True,Diputada,female,Nacional,Diputado,partido-popular,Congreso De Los Diputados,Congreso De Los Diputados
