Geo Point,Official Name Municipality
"41.601893774178194, -2.228321316234914",Gómara
"39.42222814738916, -0.39786274132220123",Benetússer
"41.14382512515043, -1.556257958051752",Atea
"42.3925716600014, -4.031842571665142",Sasamón
"38.47066589705441, -4.853444593645351",Dos Torres
"38.131009190990405, -2.987415714754974",Iznatoraf
"42.566718735990136, -2.7036348154777996",Ábalos
"43.09737946467183, -6.249287347512105",Somiedo
"28.35198625497476, -16.81652559719987",Los Silos
"40.02886650345657, -5.002145306741664",Velada
"39.53189710457883, -1.451543335425639",Villargordo del Cabriel
"42.06574474886602, 1.8306312114574494",Avià
"38.59012567162434, -5.8580297659205245",Retamal de Llerena
"36.963058376886025, -2.650440995385562",Bentarique
"40.17313937051878, -5.112112430508768",Arenas de San Pedro
"41.22649343602453, -3.292889390175278",Cantalojas
"38.48239548741418, -2.6709241987766603",Villarrodrigo
"42.067821897277376, -2.691883563735086",Villoslada de Cameros
"40.46542888139202, -3.6964663573031236",Madrid
"42.79009827409543, -1.695073886707167",Zizur Mayor
"40.705555078527944, -6.135164532158265",Abusejo
"39.98258866257262, -5.235067086189976",Lagartera
"39.06251914381408, -0.3020164934410487",Benifairó de la Valldigna
"39.50844552391729, -0.6776611991060503",Cheste
"41.68003043253207, -5.313287836175386",Castromembibre
"41.61519268763865, -3.9642496002451004",Nava de Roa
"38.149261329958094, -1.436419563097667",Ricote
"39.70902116427304, -4.219029711629175",Totanés
"41.62106839819704, -5.29090460235648",Benafarces
"43.31862160940458, -2.955746180762888",Erandio
"41.82500449615433, -5.406425185380047",Villalpando
"42.36586697058169, -5.977052267282206",Riego de la Vega
"41.41563165837116, -5.787146544299656",El Perdigón
"42.1220919101876, 2.6312191667658023",Mieres
"42.22872257651215, -1.9098771900615814",Aldeanueva de Ebro
"36.85696293308868, -4.698769016286395",Álora
"42.18644881776979, -8.515267227997166",Ponteareas
"40.87066503186233, -6.759550792338404",Ahigal de los Aceiteros
"41.73130301891952, -2.3814062428922016",Alconaba
"41.737073631551645, -2.9406595204768053",Cubilla
"41.584734473054375, -2.927792521503559",Valdenebro
"41.8814519233847, -1.7570327426030654",Santa Cruz de Moncayo
"42.3691252319807, -0.9126514021079726",Biel
"41.4513498425442, 1.9636976030808542",Sant Andreu de la Barca
"40.401080751411236, -6.537552902377045",El Sahugo
"41.245751169500124, 1.2521311902796297",Vallmoll
"39.54296883906728, -0.3178192579644465",Albuixech
"39.698509925362956, -0.8651054208845549",Losa del Obispo
"39.4367561190187, -1.136125582374055",Requena
"42.129936784811775, -6.079522610094153",Ayoó de Vidriales
"41.00008068856922, -5.122905640874041",Rágama
"40.45613015973726, -1.0231551480174808",Cuevas Labradas
"41.6759576403124, -6.160692925641517",Samir de los Caños
"37.10614596660844, -1.9393820536261674",Turre
"42.67848443538425, -3.2342188316762837",Cascajares de Bureba
"42.045383418369575, -3.5859071354090584",Puentedura
"40.2077838071241, 0.057618050715018354",Benlloc
"40.75960048787189, -2.1869334202620605",Zaorejas
"42.885468235278246, -1.7734685918508217",Iza
"42.04416537898575, -1.6693966369999915",Murchante
"43.3246448193457, -6.989591591236267",Villanueva de Oscos
"41.95284365279736, -6.039748888701941",Melgar de Tera
"41.78606637788672, -6.456260648494764",Viñas
"39.78735368887242, -2.8062507214500663",Puebla de Almenara
"40.827269002818944, -2.4140107915568865",Sacecorbo
"39.58799355887664, 3.045216249045419",Sant Joan
"40.74336142143813, -5.008958014351482",Solana de Rioalmar
"38.42289101224105, -2.5011692633272506",Cotillas
"41.78366378776433, 1.8358184235038006",Santpedor
"39.92966278610504, -0.49940190750375846",Gaibiel
"40.44109361234663, -2.240653476048071",Cañamares
"41.81501318928842, 2.908154007568002",Llagostera
"37.02551345584898, -3.0945429637116244",Válor
"40.566843902519516, -3.065550646759012",Horche
"37.92737834782175, -6.691829887930262",Galaroza
"41.66219372631094, 0.9214078021705578",Vila-sana
"42.42903426475566, -2.5651274448932444",Navarrete
"42.65424061437636, -2.2477738680673203",Mendaza
"42.02819599207264, -7.623211464754269",Trasmiras
"43.48503976696533, -6.150005161900865",Pravia
"40.46960726898697, -5.825432930742525",Valdefuentes de Sangusín
"28.05526474327139, -16.67603853020958",Arona
"43.45521532246976, -3.493707936216201",Argoños
"41.02565130141781, -1.137868630750309",Bea
"39.50809004953592, -0.4112203954942462",Burjassot
"39.72386578179078, -0.5495846356382749",Marines
"41.42924954064767, -4.680712449733029",Mojados
"41.59178282953951, -4.833387431357251",Simancas
"41.802243629840525, -4.528665100557896",Valoria la Buena
"42.073388285035705, -6.719088027888931",Cobreros
"41.54133264157549, -0.24265070050977347",La Almolda
"41.09358162564209, -1.7705592860304753",Cimballa
"39.262326757992945, -1.209908800650787",Balsa de Ves
"39.768765275007105, 2.908995368627148",Selva
"42.20975491023751, -3.914872458766099",Mazuela
"42.19293137161347, 2.7994287753448077",Crespià
"42.043274364368656, -0.4578385036084055",Vicién
"41.36993668323322, -3.2048941001863835",Montejo de Tiermes
"39.69707222751588, 3.427357425322965",Capdepera
"41.55722394252305, -4.233319451619519",Langayo
"41.918361342009796, -5.585860883949349",Vidayanes
"40.63077049403678, -4.864871215999028",Padiernos
"42.68690485574312, -8.457335282861205",A Estrada
"40.82801298558844, -5.509393245430309",Alba de Tormes
"43.26771032344146, -3.63336500011908",Arredondo
"40.077257228130804, -3.828116237535634",Numancia de la Sagra
"39.58440241913974, -0.9633888943226473",Chera
"38.815930157927646, -0.4108370116842997",Gaianes
"36.8492896157621, -5.71243828446801",Bornos
"42.93730334239205, -9.260468041155338",Fisterra
"36.915270536505375, -3.2408836680081374",Cástaras
"41.254505852581936, -2.962314001288428",Miedes de Atienza
"40.876018421183524, -2.6314050822311246",El Sotillo
"37.926460881524214, -4.078320778932918",Arjona
"42.79649719309536, -4.600584140025171",Castrejón de la Peña
"39.40454343275951, -6.697738941050508",Aliseda
"40.923093377945584, -2.577536758258693",Torremocha del Campo
"42.45255585744532, -2.1962047192093737",Mendavia
"41.81789810718234, -4.172750050070841",Hérmedes de Cerrato
"37.23185448749432, -4.934838912272822",Gilena
"41.075003605224595, -0.7682645635751423",Muniesa
"39.806912374750276, -4.650962100886162",San Martín de Pusa
"39.86998066739901, -4.0151609506927874",Toledo
"39.553839366704494, -0.33919711583033163",Emperador
"41.20245842807403, -2.105956887811586",Alconchel de Ariza
"43.26021844194876, -2.0128648830952223",Lasarte-Oria
"42.53026940426372, 0.5204797626513142",Castejón de Sos
"38.45901047785759, -5.375228698431939",Valsequillo
"42.9318220314583, -2.03983022083304",Arbizu
"40.466409626591506, -3.276799035832808",Anchuelo
"42.68612947561787, -1.7064913650751135",Ucar
"40.59500282644871, -5.812490708126383",Endrinal
"41.205026962218405, -4.422037997878472",Navas de Oro
"40.48062452765645, -5.486015184860196",Navamorales
"41.36177467008727, -3.552484636835717",Sequera de Fresno
"39.52966013501877, -4.955504520599269",Sevilleja de la Jara
"40.620744408474, -1.5189965039637916",Ródenas
"41.51497419275364, -4.9110508669602115",San Miguel del Pino
"41.217328699944154, -2.041760647731046",Cabolafuente
"38.958162872890085, -6.249702451914896",Trujillanos
"38.474938007787934, -0.8208411456910143",Elda
"41.57756196336122, 2.4839802435908473",Sant Andreu de Llavaneres
"37.426832735523085, -4.628149113361254",Moriles
"40.15870655172033, -2.6362466759980543",Huete
"37.68902250972976, -2.8182606964706696",Cortes de Baza
"37.22630881345291, -3.609495569867951",Pulianas
"41.13991659364765, -3.3231508724831644",Majaelrayo
"41.12863556494248, -1.9966221150763481",Villel de Mesa
"42.68574494070939, -0.29420409459714214",Hoz de Jaca
"42.6717234931361, -5.009959566422868",Almanza
"42.604836092964945, -2.83196578036186",Briñas
"41.994326218137914, -4.258384841924383",Hornillos de Cerrato
"40.52091185528668, -5.634163914665923",Guijo de Ávila
"41.307735840200586, -4.455928157112158",Fresneda de Cuéllar
"41.345695522916124, -2.4931798267120118",Adradas
"41.95713372029271, -2.134260164312787",Valdeprado
"40.883766183481335, -0.6272240455251233",Estercuel
"39.29701129661414, -0.4114562225204502",Almussafes
"39.72786620637534, -0.2582282842143593",Faura
"43.30229669848036, -3.0575412987243618",Ortuella
"42.47509921507589, -1.010400186908372",Lobera de Onsella
"41.35607548542335, -1.5153744549607298",Sediles
"41.91068106757915, -1.7478849642201095",Tarazona
"41.98053330819733, 2.3091418610017573",Roda de Ter
"42.55637173192977, -3.6716218279224155",Merindad de Río Ubierna
"40.56159113874648, 0.23355088726498074",Canet lo Roig
"42.01688174366605, 3.0097259422148746",Rupià
"42.72825848804316, -6.0231258424665715",Valdesamario
"42.139591204636034, 1.6410574076306228",Guixers
"41.74609522053672, 1.1471812282539595",Ossó de Sió
"43.22253493852069, -7.260266837728764",Meira
"37.74334764278092, -0.8654337505218085",Los Alcázares
"42.18671665896227, -1.5726552873636055",Arguedas
"42.74046850993722, -4.703210961493374",Respenda de la Peña
"28.069355342953077, -15.69832814621925",Agaete
"37.200507680611615, -5.573219237487622",Arahal
"39.45987558217418, -0.4884006080887012",Aldaia
"41.686264334797265, -4.516364358214955",Olmos de Esgueva
"41.92829500995901, -5.139288836287211",Palazuelo de Vedija
"42.01330115321745, -3.5159655222903408","Comunidad de Covarrubias, Quintanilla del Coco y Retuerta"
"39.172596691335364, -2.1979283268204504",La Roda
"37.29148908014067, -5.498132351529429",Paradas
"40.665694421844584, -1.3012562714097968",Singra
"39.84558583350731, -4.491527031082992",El Carpio de Tajo
"41.5784345764423, -5.251081052627615",Casasola de Arión
"42.813494953956884, -3.3809250386710823",Trespaderne
"39.85961404479154, -6.229494190207045",Mirabel
"42.23391590592604, 2.302028464394337",Sant Joan de les Abadesses
"40.505098362476225, -2.575112643566527",Millana
"42.19820848340203, 0.17516990912641048",Naval
"42.02885970597516, -0.2810723960821199",Novales
"42.046990299619665, -0.01312798489136375",Peraltilla
"42.511663735910595, -2.9206606690759336",Castañares de Rioja
